timestamp,symbol,timeframe,iteration,direction,setup_id,range_high,range_low,range_quality_score,range_bars,range_touches_high,range_touches_low,atr_at_setup,range_height_atr,ssl_bsl_sweep_type,sweep_bar,sweep_wick_size_atr,sweep_wick_size_abs,structure_break_type,breakout_bar,breakout_direction,breakout_body_atr,breakout_quality,htf_trend,retest_zone_type,retest_zone_top,retest_zone_bottom,entry_price,sl_price,tp1_price,tp2_price,tp_score,rr_tp1,rr_tp2,rejection_reason,entry_bar,exit_bar,exit_reason,exit_price,r_multiple,mae_abs,mfe_abs,bars_held,session
2024-04-10 07:30:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00001,2358.69995,2353.8999,40.0,35,1,2,1.6967,4.831,BSL_PDH,165,0.872,1.59,MSS_BEARISH,165,SHORT,0.74,MODERATE,RANGING,FVG,2358.01,2355.69,2355.46,2358.86,2345.6,0.0,35,2.72,0.0,,170,194,TP1,2345.6,2.9,0.49,9.87,24,london
2024-04-12 11:30:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00002,2400.72998,2393.15991,55.0,50,2,3,2.2787,2.978,BSL_EQUAL_HIGHS,762,0.34,0.62,BOS_BEARISH,196,SHORT,1.053,MODERATE_BOS,RANGING,SR,2393.59,2392.73,2392.51,2394.73,2388.04,0.0,35,1.79,0.0,,770,772,SL,2394.78,-1.023,2.4,1.78,2,london
2024-04-12 12:15:00+00:00,XAU/USD,5min,1,LONG,SETUP_00003,2400.72998,2393.15991,55.0,59,2,3,2.3597,2.978,SSL_RANGE_LOW,779,0.199,0.47,MSS_BULLISH,775,LONG,0.381,MODERATE,RANGING,OB,2393.73,2391.8,2394.48,2390.62,2400.5,0.0,35,1.17,0.0,,779,796,TP1,2400.5,1.56,2.16,9.88,17,new_york
2024-04-16 16:55:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00004,2398.1001,2388.02002,55.0,8,2,3,3.1196,3.231,BSL_RANGE_HIGH,1372,0.258,0.83,MSS_BEARISH,801,SHORT,0.57,MODERATE,RANGING,BB,2398.49,2397.9,2397.67,2400.05,2368.86,0.0,30,11.23,0.0,,1375,1447,TIMEOUT,2382.77,6.26,0.06,19.08,72,new_york
2024-04-17 07:55:00+00:00,XAU/USD,5min,1,LONG,SETUP_00005,2382.3501,2374.26001,70.0,39,6,3,1.7083,4.345,SSL_EQUAL_LOWS,1541,0.848,1.643,BOS_BULLISH,1541,LONG,1.223,MODERATE_BOS,RANGING,BB,2382.2,2381.49,2382.42,2380.64,2385.48,0.0,35,1.47,0.0,,1543,1547,TP1,2385.48,1.719,0.0,3.61,4,london
2024-04-17 13:35:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00006,2388.1001,2378.37988,35.0,18,1,1,2.7895,3.953,BSL_SWING_HIGH,1610,0.503,1.31,MSS_BEARISH,1570,SHORT,0.719,MODERATE,RANGING,OB,2392.99,2391.9,2391.67,2394.38,2378.2,0.0,35,4.61,0.0,,1611,1613,SL,2394.43,-1.018,2.89,1.65,2,new_york
2024-04-17 14:00:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00007,2394.56006,2384.72998,65.0,11,2,3,3.1962,3.454,BSL_EQUAL_HIGHS,1616,1.056,3.375,MSS_BEARISH,1614,SHORT,0.466,MODERATE,RANGING,BB,2391.93,2391.47,2391.24,2393.53,2378.2,0.0,35,5.23,0.0,,1616,1622,SL,2393.58,-1.022,2.69,4.98,6,new_york
2024-04-17 14:50:00+00:00,XAU/USD,5min,1,LONG,SETUP_00008,2394.56006,2384.72998,65.0,21,2,3,3.0476,3.454,SSL_SWING_LOW,1617,0.637,2.02,MSS_BULLISH,1624,LONG,0.563,MODERATE,RANGING,BB,2389.55,2388.57,2389.78,2387.05,2394.08,0.0,35,1.42,0.0,,1626,1631,SL,2387.0,-1.018,5.94,3.88,5,new_york
2024-04-17 15:50:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00009,2394.56006,2384.72998,65.0,33,2,3,3.2777,3.454,BSL_EQUAL_HIGHS,1630,0.943,3.145,BOS_BEARISH,1632,SHORT,0.815,MODERATE_BOS,RANGING,BB,2389.09,2387.77,2387.55,2390.73,2378.2,0.0,35,2.73,0.0,,1638,1646,TP1,2378.2,2.94,0.0,14.36,8,new_york
2024-04-18 08:50:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00010,2380.68994,2376.73999,50.0,31,1,3,1.4856,2.253,BSL_SWING_HIGH,1827,0.172,0.27,MSS_BEARISH,1809,SHORT,0.993,MODERATE,RANGING,OB,2380.91,2380.69,2380.46,2381.65,2372.79,0.0,30,5.5,0.0,,1830,1849,SL,2381.7,-1.042,2.02,3.06,19,london
2024-04-18 11:15:00+00:00,XAU/USD,5min,1,LONG,SETUP_00011,2382.68994,2377.3999,65.0,27,2,4,1.4589,3.988,SSL_SWING_LOW,1847,0.404,0.45,BOS_BULLISH,1850,LONG,0.482,MODERATE_BOS,RANGING,BB,2379.34,2378.64,2379.57,2377.91,2387.98,0.0,25,4.5,0.0,,1859,1880,TP1,2387.98,5.066,0.19,8.53,21,london
2024-04-18 13:40:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00012,2387.47998,2379.070068,35.0,32,1,3,4.5216,3.725,BSL_EQUAL_HIGHS,1887,1.622,7.065,BOS_BEARISH,1881,SHORT,0.714,MODERATE_BOS,RANGING,BB,2380.13,2379.93,2379.71,2382.39,2354.92,0.0,35,8.6,0.0,,1888,1889,SL,2382.44,-1.019,2.97,2.91,1,new_york
2024-04-18 15:10:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00013,2384.87988,2369.77002,55.0,14,3,2,3.7548,3.425,BSL_EQUAL_HIGHS,1904,0.536,2.185,BOS_BEARISH,1898,SHORT,0.564,MODERATE_BOS,RANGING,OB,2382.82,2382.05,2381.83,2384.7,2375.35,0.0,35,2.07,0.0,,1906,1910,SL,2384.75,-1.017,2.94,0.77,4,new_york
2024-04-19 13:05:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00016,2383.17993,2372.90991,55.0,30,4,2,2.5019,3.737,BSL_SWING_HIGH,2156,0.766,1.79,BOS_BEARISH,1911,SHORT,0.318,MODERATE_BOS,RANGING,BB,2381.45,2379.77,2379.55,2382.7,2374.65,0.0,25,1.42,0.0,,2157,2159,TP1,2374.65,1.556,0.14,6.32,2,new_york
2024-04-19 13:30:00+00:00,XAU/USD,5min,1,LONG,SETUP_00017,2383.17993,2372.90991,55.0,35,4,2,3.2669,3.737,SSL_SWING_LOW,2161,0.199,0.63,MSS_BULLISH,2160,LONG,0.823,MODERATE,RANGING,BB,2384.05,2382.89,2384.28,2381.26,2392.85,0.0,35,2.63,0.0,,2162,2165,SL,2381.21,-1.017,4.37,2.57,3,new_york
2024-04-19 14:00:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00018,2383.17993,2372.90991,55.0,41,4,2,3.5836,3.737,BSL_SWING_HIGH,2167,0.417,1.53,MSS_BEARISH,2166,SHORT,0.379,MODERATE,RANGING,BB,2383.31,2381.69,2381.46,2385.1,2373.07,0.0,35,2.16,0.0,,2168,2170,SL,2385.15,-1.014,4.47,0.43,2,new_york
2024-04-22 12:30:00+00:00,XAU/USD,5min,1,LONG,SETUP_00019,2349.52002,2339.6499,35.0,15,1,1,2.9831,3.325,SSL_RANGE_LOW,2408,0.631,2.01,BOS_BULLISH,2171,LONG,0.873,MODERATE_BOS,RANGING,SR,2350.09,2348.95,2350.32,2347.45,2363.44,0.0,35,4.26,0.0,,2414,2415,SL,2347.4,-1.017,3.58,0.0,1,new_york
