timestamp,symbol,timeframe,iteration,direction,setup_id,range_high,range_low,range_quality_score,range_bars,range_touches_high,range_touches_low,atr_at_setup,range_height_atr,ssl_bsl_sweep_type,sweep_bar,sweep_wick_size_atr,sweep_wick_size_abs,structure_break_type,breakout_bar,breakout_direction,breakout_body_atr,breakout_quality,htf_trend,retest_zone_type,retest_zone_top,retest_zone_bottom,entry_price,sl_price,tp1_price,tp2_price,tp_score,rr_tp1,rr_tp2,rejection_reason,entry_bar,exit_bar,exit_reason,exit_price,r_multiple,mae_abs,mfe_abs,bars_held,session
2024-04-10 07:30:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00001,2360.1001,2355.84009,70.0,31,3,2,1.6967,3.287,BSL_PDH,165,0.872,1.59,MSS_BEARISH,165,SHORT,0.74,MODERATE,RANGING,FVG,2358.01,2355.69,2355.46,2358.86,2345.6,0.0,35.0,2.72,0.0,,170,194,TP1,2345.6,2.9,0.49,9.87,24,london
2024-04-11 10:15:00+00:00,XAU/USD,5min,1,LONG,SETUP_00002,2335.060059,2328.070068,35.0,15,1,2,2.1321,3.201,SSL_SWING_LOW,479,0.516,1.1,MSS_BULLISH,444,LONG,1.015,STRONG,RANGING,SR,2335.47,2334.65,2335.69,2333.59,2339.47,0.0,35.0,1.58,0.0,,479,480,SL,2333.54,-1.024,2.14,0.0,1,london
2024-04-11 12:20:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00003,2338.11011,2332.53003,35.0,26,2,1,2.0604,3.261,BSL_SWING_HIGH,503,0.996,1.99,BOS_BEARISH,481,SHORT,0.407,MODERATE_BOS,RANGING,BB,2335.77,2334.07,2333.85,2336.8,2326.95,0.0,30.0,2.15,0.0,,504,506,SL,2336.85,-1.017,9.34,0.63,2,new_york
2024-04-11 14:35:00+00:00,XAU/USD,5min,1,LONG,SETUP_00004,2344.40991,2335.48999,35.0,25,1,1,4.1876,3.003,SSL_RANGE_LOW,530,0.71,2.76,MSS_BULLISH,507,LONG,0.412,MODERATE,RANGING,BB,2332.66,2332.35,2332.88,2330.26,2339.55,0.0,35.0,2.32,0.0,,531,536,TP1,2339.55,2.546,0.0,9.19,5,new_york
2024-04-12 11:30:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00005,2400.72998,2393.15991,55.0,50,2,3,2.2787,2.978,BSL_EQUAL_HIGHS,762,0.34,0.62,BOS_BEARISH,717,SHORT,1.199,MODERATE_BOS,RANGING,SR,2393.59,2392.73,2392.51,2394.73,2388.04,0.0,35.0,1.8,0.0,,770,772,SL,2394.78,-1.023,2.4,1.78,2,london
2024-04-12 12:15:00+00:00,XAU/USD,5min,1,LONG,SETUP_00006,2400.72998,2393.15991,55.0,59,2,3,2.3597,2.978,SSL_RANGE_LOW,779,0.199,0.47,BOS_BULLISH,775,LONG,0.381,MODERATE_BOS,RANGING,OB,2393.73,2391.8,2394.48,2390.62,2400.5,0.0,35.0,1.17,0.0,,779,796,TP1,2400.5,1.56,2.16,9.88,17,new_york
2024-04-15 12:40:00+00:00,XAU/USD,5min,1,LONG,SETUP_00007,2361.30005,2353.81006,35.0,21,3,1,2.9885,3.451,SSL_RANGE_LOW,1048,0.308,0.92,MSS_BULLISH,1026,LONG,1.686,STRONG,RANGING,BB,2354.51,2353.55,2354.74,2352.06,2365.56,0.0,35.0,3.73,0.0,,1048,1056,SL,2352.01,-1.019,3.1,6.36,8,new_york
2024-04-16 13:05:00+00:00,XAU/USD,5min,1,LONG,SETUP_00010,2378.3501,2368.88989,50.0,78,2,1,2.8259,3.352,SSL_SWING_LOW,1321,0.398,0.96,BOS_BULLISH,1324,LONG,0.863,MODERATE_BOS,RANGING,BB,2371.27,2370.98,2371.5,2369.57,2375.32,0.0,35.0,1.73,0.0,,1329,1332,TP1,2375.32,1.979,0.0,6.06,3,new_york
2024-04-16 14:00:00+00:00,XAU/USD,5min,1,LONG,SETUP_00011,2378.3501,2368.88989,50.0,89,2,1,4.2657,3.352,SSL_RANGE_LOW,1340,0.607,2.59,BOS_BULLISH,1335,LONG,0.545,MODERATE_BOS,RANGING,BB,2369.24,2367.82,2369.46,2365.69,2392.2,0.0,35.0,5.71,0.0,,1340,1342,SL,2365.64,-1.013,3.9,1.94,2,new_york
2024-04-16 14:40:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00012,2378.3501,2368.88989,50.0,97,2,1,4.4784,3.352,BSL_EQUAL_HIGHS,1338,0.784,3.09,BOS_BEARISH,1344,SHORT,0.39,MODERATE_BOS,RANGING,BB,2374.73,2373.52,2373.3,2376.97,2363.32,0.0,35.0,2.55,0.0,,1348,1350,SL,2377.02,-1.014,9.64,0.11,2,new_york
