timestamp,symbol,timeframe,iteration,direction,setup_id,range_high,range_low,range_quality_score,range_bars,range_touches_high,range_touches_low,atr_at_setup,range_height_atr,ssl_bsl_sweep_type,sweep_bar,sweep_wick_size_atr,sweep_wick_size_abs,structure_break_type,breakout_bar,breakout_direction,breakout_body_atr,breakout_quality,htf_trend,retest_zone_type,retest_zone_top,retest_zone_bottom,entry_price,sl_price,tp1_price,tp2_price,tp_score,rr_tp1,rr_tp2,rejection_reason,entry_bar,exit_bar,exit_reason,exit_price,r_multiple,mae_abs,mfe_abs,bars_held,session
2024-04-10 07:30:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00001,2360.1001,2355.84009,70.0,31,3,2,1.6967,3.287,BSL_PDH,165,0.872,1.59,MSS_BEARISH,165,SHORT,0.74,MODERATE,RANGING,FVG,2358.01,2355.69,2355.46,2358.86,2350.91,0.0,35.0,1.23,0.0,,170,193,TP1,2350.91,1.338,0.49,5.99,23,london
2024-04-11 10:15:00+00:00,XAU/USD,5min,1,LONG,SETUP_00002,2335.060059,2328.070068,35.0,15,1,2,2.1321,3.201,SSL_SWING_LOW,479,0.516,1.1,MSS_BULLISH,444,LONG,1.015,STRONG,RANGING,SR,2335.47,2334.65,2335.69,2333.59,2339.47,0.0,35.0,1.58,0.0,,479,480,SL,2333.54,-1.024,2.14,0.0,1,london
2024-04-11 12:20:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00003,2338.11011,2332.53003,35.0,26,2,1,2.0604,3.261,BSL_SWING_HIGH,503,0.996,1.99,BOS_BEARISH,481,SHORT,0.407,MODERATE_BOS,RANGING,BB,2335.77,2334.07,2333.85,2336.8,2326.95,0.0,30.0,2.15,0.0,,504,506,SL,2336.85,-1.017,9.34,0.63,2,new_york
2024-04-11 14:35:00+00:00,XAU/USD,5min,1,LONG,SETUP_00004,2344.40991,2335.48999,35.0,25,1,1,4.1876,3.003,SSL_RANGE_LOW,530,0.71,2.76,MSS_BULLISH,507,LONG,0.412,MODERATE,RANGING,BB,2332.66,2332.35,2332.88,2330.26,2339.56,0.0,35.0,2.32,0.0,,531,536,TP1,2339.56,2.55,0.0,9.19,5,new_york
2024-04-12 11:30:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00005,2400.72998,2393.15991,55.0,50,2,3,2.2787,2.978,BSL_EQUAL_HIGHS,762,0.34,0.62,BOS_BEARISH,717,SHORT,1.199,MODERATE_BOS,RANGING,SR,2393.59,2392.73,2392.51,2394.73,2383.36,0.0,35.0,3.75,0.0,,770,772,SL,2394.78,-1.023,2.4,1.78,2,london
2024-04-12 12:15:00+00:00,XAU/USD,5min,1,LONG,SETUP_00006,2400.72998,2393.15991,55.0,59,2,3,2.3597,2.978,SSL_RANGE_LOW,779,0.199,0.47,MSS_BULLISH,775,LONG,0.381,MODERATE,RANGING,OB,2393.73,2391.8,2394.48,2390.62,2400.32,0.0,35.0,1.13,0.0,,779,796,TP1,2400.32,1.513,2.16,9.88,17,new_york
2024-04-15 11:40:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00008,2361.30005,2353.81006,35.0,9,3,1,2.1103,3.451,BSL_SWING_HIGH,1025,0.186,0.29,MSS_BEARISH,981,SHORT,0.716,MODERATE,RANGING,BB,2359.66,2359.12,2358.9,2360.72,2355.19,0.0,35.0,1.77,0.0,,1036,1044,TP1,2355.19,2.038,0.51,4.18,8,london
2024-04-15 13:05:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00009,2361.30005,2353.81006,35.0,26,3,1,3.118,3.451,BSL_EQUAL_HIGHS,1053,0.953,2.97,MSS_BEARISH,1046,SHORT,0.567,MODERATE,RANGING,FVG,2357.98,2357.15,2356.92,2359.54,2349.62,0.0,35.0,2.56,0.0,,1053,1059,TP1,2349.62,2.786,0.0,7.68,6,new_york
2024-04-15 16:40:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00010,2352.47998,2336.070068,35.0,25,2,1,3.4195,3.298,BSL_SWING_HIGH,1087,0.159,0.57,MSS_BEARISH,1089,SHORT,0.381,MODERATE,RANGING,BB,2358.06,2357.31,2357.09,2359.77,2343.13,0.0,35.0,4.82,0.0,,1096,1098,SL,2359.82,-1.019,3.01,2.25,2,new_york
2024-04-16 11:30:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00011,2378.3501,2368.88989,50.0,59,2,1,1.8206,3.352,BSL_EQUAL_HIGHS,1309,0.187,0.32,BOS_BEARISH,1308,SHORT,0.332,MODERATE_BOS,RANGING,BB,2372.81,2372.35,2372.13,2373.72,2368.92,0.0,35.0,1.71,0.0,,1310,1311,SL,2373.77,-1.031,1.72,0.15,1,london
2024-04-16 13:05:00+00:00,XAU/USD,5min,1,LONG,SETUP_00012,2378.3501,2368.88989,50.0,78,2,1,2.8259,3.352,SSL_SWING_LOW,1329,0.308,0.87,BOS_BULLISH,1324,LONG,0.863,MODERATE_BOS,RANGING,BB,2371.27,2370.98,2371.5,2369.57,2375.31,0.0,35.0,1.73,0.0,,1329,1332,TP1,2375.31,1.974,0.0,6.06,3,new_york
2024-04-16 14:00:00+00:00,XAU/USD,5min,1,LONG,SETUP_00013,2378.3501,2368.88989,50.0,89,2,1,4.2657,3.352,SSL_RANGE_LOW,1340,0.607,2.59,BOS_BULLISH,1335,LONG,0.545,MODERATE_BOS,RANGING,BB,2369.24,2367.82,2369.46,2365.69,2392.2,0.0,35.0,5.71,0.0,,1340,1342,SL,2365.64,-1.013,3.9,1.94,2,new_york
2024-04-16 14:40:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00014,2378.3501,2368.88989,50.0,97,2,1,4.4784,3.352,BSL_EQUAL_HIGHS,1338,0.784,3.09,BOS_BEARISH,1344,SHORT,0.39,MODERATE_BOS,RANGING,BB,2374.73,2373.52,2373.3,2376.97,2359.43,0.0,25.0,3.56,0.0,,1348,1350,SL,2377.02,-1.014,9.64,0.11,2,new_york
2024-04-17 07:55:00+00:00,XAU/USD,5min,1,LONG,SETUP_00015,2383.30005,2378.030029,35.0,9,1,4,1.7083,2.866,SSL_EQUAL_LOWS,1541,0.848,1.643,MSS_BULLISH,1541,LONG,1.223,STRONG,RANGING,BB,2382.2,2381.49,2382.42,2380.64,2385.5,0.0,35.0,1.48,0.0,,1543,1547,TP1,2385.5,1.73,0.0,3.61,4,london
2024-04-17 15:05:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00016,2394.56006,2384.72998,65.0,24,2,3,3.1568,3.454,BSL_RANGE_HIGH,1625,0.373,1.06,MSS_BEARISH,1626,SHORT,0.738,MODERATE,RANGING,OB,2394.07,2392.4,2392.17,2395.65,2378.2,0.0,35.0,3.78,0.0,,1629,1646,TP1,2378.2,4.014,1.01,18.98,17,new_york
2024-04-18 08:50:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00017,2380.68994,2376.73999,50.0,31,1,3,1.4856,2.253,BSL_SWING_HIGH,1830,0.283,0.42,MSS_BEARISH,1809,SHORT,0.993,MODERATE,RANGING,OB,2380.91,2380.69,2380.46,2381.65,2374.18,0.0,35.0,4.49,0.0,,1830,1849,SL,2381.7,-1.042,2.02,3.06,19,london
2024-04-18 11:15:00+00:00,XAU/USD,5min,1,LONG,SETUP_00018,2384.030029,2380.96997,65.0,10,4,2,1.4589,2.548,SSL_RANGE_LOW,1859,1.302,1.9,BOS_BULLISH,1850,LONG,0.482,MODERATE_BOS,RANGING,BB,2379.34,2378.64,2379.57,2377.91,2387.09,0.0,25.0,4.02,0.0,,1859,1869,TP1,2387.09,4.53,0.19,7.91,10,london
2024-04-18 13:40:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00019,2389.93994,2380.77002,35.0,22,1,7,4.5216,2.982,BSL_EQUAL_HIGHS,1888,0.154,0.696,BOS_BEARISH,1870,SHORT,0.461,MODERATE_BOS,RANGING,BB,2379.09,2377.95,2377.72,2381.35,2354.92,0.0,35.0,5.95,0.0,,1888,1889,SL,2381.4,-1.014,4.96,0.92,1,new_york
2024-04-18 15:10:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00020,2384.87988,2369.77002,55.0,14,3,2,3.7548,3.425,BSL_EQUAL_HIGHS,1904,0.507,2.068,BOS_BEARISH,1898,SHORT,0.564,MODERATE_BOS,RANGING,OB,2382.82,2382.05,2381.83,2384.7,2375.35,0.0,35.0,2.07,0.0,,1906,1910,SL,2384.75,-1.017,2.94,0.77,4,new_york
