timestamp,symbol,timeframe,iteration,direction,setup_id,range_high,range_low,range_quality_score,range_bars,range_touches_high,range_touches_low,atr_at_setup,range_height_atr,ssl_bsl_sweep_type,sweep_bar,sweep_wick_size_atr,sweep_wick_size_abs,structure_break_type,breakout_bar,breakout_direction,breakout_body_atr,breakout_quality,htf_trend,retest_zone_type,retest_zone_top,retest_zone_bottom,entry_price,sl_price,tp1_price,tp2_price,tp_score,rr_tp1,rr_tp2,rejection_reason,entry_bar,exit_bar,exit_reason,exit_price,r_multiple,mae_abs,mfe_abs,bars_held,session
2024-04-10 07:30:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00001,2360.1001,2355.84009,70.0,31,3,2,1.6967,3.287,BSL_PDH,165,0.872,1.59,MSS_BEARISH,165,SHORT,0.74,MODERATE,RANGING,FVG,2358.01,2355.69,2355.46,2358.86,2350.91,0.0,35.0,1.23,0.0,,170,193,TP1,2350.91,1.338,0.49,5.99,23,london
2024-04-11 10:40:00+00:00,XAU/USD,5min,1,LONG,SETUP_00002,2335.42993,2328.6001,55.0,19,2,3,1.7882,3.358,SSL_SWING_LOW,484,0.19,0.34,MSS_BULLISH,444,LONG,1.015,STRONG,RANGING,SR,2335.82,2335.04,2336.04,2334.15,2339.47,0.0,35.0,1.57,0.0,,484,488,TP1,2339.47,1.815,0.0,3.55,4,london
2024-04-11 14:15:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00003,2347.30005,2339.81006,65.0,13,2,2,3.8123,2.421,BSL_EQUAL_HIGHS,527,0.877,3.342,MSS_BEARISH,503,SHORT,0.646,MODERATE,RANGING,OB,2339.4,2338.03,2337.81,2341.31,2331.44,0.0,35.0,1.68,0.0,,527,536,SL,2341.36,-1.014,4.26,5.34,9,new_york
2024-04-12 11:30:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00004,2400.72998,2393.15991,55.0,50,2,3,2.2787,2.978,BSL_EQUAL_HIGHS,762,0.34,0.62,BOS_BEARISH,717,SHORT,1.199,MODERATE_BOS,RANGING,SR,2393.59,2392.73,2392.51,2394.73,2383.36,0.0,35.0,3.75,0.0,,770,772,SL,2394.78,-1.023,2.4,1.78,2,london
2024-04-12 12:15:00+00:00,XAU/USD,5min,1,LONG,SETUP_00005,2400.72998,2393.15991,55.0,59,2,3,2.3597,2.978,SSL_RANGE_LOW,779,0.199,0.47,MSS_BULLISH,775,LONG,0.381,MODERATE,RANGING,OB,2393.73,2391.8,2394.48,2390.62,2400.32,0.0,35.0,1.13,0.0,,779,796,TP1,2400.32,1.513,2.16,9.88,17,new_york
2024-04-15 11:40:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00007,2361.30005,2355.61011,55.0,8,3,2,2.1103,2.696,BSL_SWING_HIGH,1025,0.186,0.29,MSS_BEARISH,981,SHORT,0.716,MODERATE,RANGING,BB,2359.66,2359.12,2358.9,2360.72,2355.19,0.0,35.0,1.77,0.0,,1036,1044,TP1,2355.19,2.038,0.51,4.18,8,london
2024-04-15 13:05:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00008,2361.30005,2355.61011,55.0,25,3,2,3.118,2.696,BSL_EQUAL_HIGHS,1053,0.953,2.97,MSS_BEARISH,1046,SHORT,0.567,MODERATE,RANGING,FVG,2357.98,2357.15,2356.92,2359.54,2349.62,0.0,35.0,2.56,0.0,,1053,1059,TP1,2349.62,2.786,0.0,7.68,6,new_york
2024-04-15 16:40:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00009,2352.47998,2342.94995,65.0,24,2,3,3.4195,1.912,BSL_SWING_HIGH,1087,0.159,0.57,MSS_BEARISH,1089,SHORT,0.381,MODERATE,RANGING,BB,2358.06,2357.31,2357.09,2359.77,2343.13,0.0,35.0,4.82,0.0,,1096,1098,SL,2359.82,-1.019,3.01,2.25,2,new_york
2024-04-16 11:30:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00010,2378.3501,2368.88989,50.0,59,2,1,1.8206,3.352,BSL_EQUAL_HIGHS,1309,0.187,0.32,BOS_BEARISH,1308,SHORT,0.332,MODERATE_BOS,RANGING,BB,2372.81,2372.35,2372.13,2373.72,2368.92,0.0,35.0,1.71,0.0,,1310,1311,SL,2373.77,-1.031,1.72,0.15,1,london
2024-04-16 13:05:00+00:00,XAU/USD,5min,1,LONG,SETUP_00011,2378.3501,2368.88989,50.0,78,2,1,2.8259,3.352,SSL_SWING_LOW,1329,0.308,0.87,BOS_BULLISH,1324,LONG,0.863,MODERATE_BOS,RANGING,BB,2371.27,2370.98,2371.5,2369.57,2375.31,0.0,35.0,1.73,0.0,,1329,1332,TP1,2375.31,1.974,0.0,6.06,3,new_york
