timestamp,symbol,timeframe,iteration,direction,setup_id,range_high,range_low,range_quality_score,range_bars,range_touches_high,range_touches_low,atr_at_setup,range_height_atr,ssl_bsl_sweep_type,sweep_bar,sweep_wick_size_atr,sweep_wick_size_abs,structure_break_type,breakout_bar,breakout_direction,breakout_body_atr,breakout_quality,htf_trend,retest_zone_type,retest_zone_top,retest_zone_bottom,entry_price,sl_price,tp1_price,tp2_price,tp_score,rr_tp1,rr_tp2,rejection_reason,entry_bar,exit_bar,exit_reason,exit_price,r_multiple,mae_abs,mfe_abs,bars_held,session
2024-04-11 14:30:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00009,2347.30005,2339.81006,65.0,16,2,2,3.8872,2.421,BSL_SESSION_HIGH,508,0.385,1.17,MSS_BEARISH,515,SHORT,0.455,MODERATE,RANGING,OB,2336.38,2335.86,2335.64,2338.32,2332.95,2331.44,35.0,1.0,1.56,,530,531,SL,2338.37,-1.019,2.97,3.17,1,new_york
2024-04-12 13:10:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00010,2400.72998,2393.15991,55.0,70,2,3,3.0638,2.978,BSL_SWING_HIGH,785,0.266,0.71,MSS_BEARISH,788,SHORT,1.201,STRONG,RANGING,BB,2397.61,2396.77,2396.55,2399.14,2393.95,2384.62,35.0,1.0,4.59,,790,793,SL,2399.19,-1.019,2.84,1.77,3,new_york
2024-04-17 07:55:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00026,2383.30005,2378.030029,65.0,8,2,4,1.7083,3.085,BSL_SWING_HIGH,1527,0.236,0.48,MSS_BEARISH,1533,SHORT,0.312,MODERATE,RANGING,BB,2382.72,2382.3,2382.08,2383.57,2380.58,2378.11,35.0,1.0,2.64,,1543,1544,SL,2383.62,-1.034,3.16,0.0,1,london
2024-05-01 07:20:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00069,2289.80005,2286.53003,50.0,18,1,2,1.1571,3.027,BSL_SWING_HIGH,4270,0.67,0.8,MSS_BEARISH,4270,SHORT,0.611,MODERATE,RANGING,OB,2287.94,2286.91,2286.68,2286.68,2284.85,2283.26,30.0,1.0,1.87,,4272,4280,SL,2286.73,0.497,0.83,3.08,8,london
2024-05-02 15:55:00+00:00,XAU/USD,5min,99,LONG,SETUP_00070,2307.01001,2294.8501,65.0,18,2,2,3.1049,3.379,SSL_SWING_LOW,4603,0.453,0.7,MSS_BULLISH,4603,LONG,0.382,MODERATE,RANGING,OB,2297.72,2295.77,2297.94,2297.94,2301.67,2302.69,35.0,1.0,1.27,,4651,4660,TP2,2302.69,1.14,0.0,5.72,9,new_york
2024-08-16 14:00:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00092,2493.070068,2483.8999,75.0,13,3,2,4.9662,2.288,BSL_SWING_HIGH,5769,0.815,1.76,MSS_BEARISH,5774,SHORT,0.729,MODERATE,RANGING,OB,2491.6,2485.99,2485.76,2494.08,2477.45,2474.73,50.0,1.0,1.33,,5786,5788,SL,2494.13,-1.006,8.72,1.45,2,new_york
2024-08-19 09:40:00+00:00,XAU/USD,5min,99,LONG,SETUP_00093,2505.77002,2499.30005,70.0,85,3,2,1.1855,3.383,SSL_PDL,5986,0.757,1.43,MSS_BULLISH,5991,LONG,0.648,MODERATE,UPTREND,OB,2501.65,2501.31,2501.87,2500.72,2503.03,2506.85,35.0,1.0,4.3,,6009,6010,SL,2500.67,-1.043,1.49,0.0,1,london
2024-08-20 13:10:00+00:00,XAU/USD,5min,99,LONG,SETUP_00094,2529.22998,2521.72998,65.0,22,2,2,2.5171,3.248,SSL_EQUAL_LOWS,6321,0.445,1.065,MSS_BULLISH,6321,LONG,1.35,STRONG,RANGING,OB,2525.36,2522.66,2525.59,2525.59,2529.77,2536.73,25.0,1.0,2.66,,6327,6332,SL,2525.54,0.499,5.61,6.13,5,new_york
2024-08-22 07:35:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00100,2510.6499,2504.23999,70.0,20,2,3,1.9724,3.063,BSL_SWING_HIGH,6808,0.237,0.49,MSS_BEARISH,6808,SHORT,1.652,STRONG,RANGING,OB,2508.61,2508.41,2508.18,2508.18,2506.77,2500.99,35.0,1.0,5.09,,6812,6814,SL,2508.23,0.5,1.0,1.87,2,london
2024-08-22 10:05:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00102,2508.61011,2504.01001,55.0,9,2,2,1.5134,2.875,BSL_SWING_HIGH,6819,0.481,0.83,MSS_BEARISH,6819,SHORT,0.417,MODERATE,RANGING,OB,2509.18,2507.6,2507.38,2507.38,2504.81,2501.0,35.0,1.0,2.49,,6842,6860,TP2,2501.0,1.748,1.74,9.16,18,london
