timestamp,symbol,timeframe,iteration,direction,setup_id,range_high,range_low,range_quality_score,range_bars,range_touches_high,range_touches_low,atr_at_setup,range_height_atr,ssl_bsl_sweep_type,sweep_bar,sweep_wick_size_atr,sweep_wick_size_abs,structure_break_type,breakout_bar,breakout_direction,breakout_body_atr,breakout_quality,htf_trend,retest_zone_type,retest_zone_top,retest_zone_bottom,entry_price,sl_price,tp1_price,tp2_price,tp_score,rr_tp1,rr_tp2,rejection_reason,entry_bar,exit_bar,exit_reason,exit_price,r_multiple,mae_abs,mfe_abs,bars_held,session
2024-04-11 07:45:00+00:00,XAU/USD,5min,99,LONG,SETUP_00003,2339.77002,2333.94995,70.0,20,3,3,1.8377,2.827,SSL_SWING_LOW,435,1.09,2.35,MSS_BULLISH,444,LONG,1.015,STRONG,RANGING,OB,2338.81,2337.88,2339.04,2336.96,2341.11,2342.29,35.0,1.0,1.57,,449,451,SL,2336.91,-1.024,3.35,0.52,2,london
2024-04-15 11:40:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00015,2361.30005,2355.61011,55.0,8,3,2,2.1103,2.696,BSL_SWING_HIGH,975,0.282,0.67,MSS_BEARISH,981,SHORT,0.716,MODERATE,RANGING,BB,2359.66,2359.12,2358.9,2358.9,2357.08,2355.19,35.0,1.0,2.04,,1036,1040,SL,2358.95,0.5,0.51,2.59,4,london
2024-04-15 13:25:00+00:00,XAU/USD,5min,99,LONG,SETUP_00016,2361.30005,2355.61011,55.0,29,3,2,2.7986,2.696,SSL_PDL,1027,0.681,1.38,MSS_BULLISH,1041,LONG,1.223,STRONG,RANGING,BB,2352.82,2352.43,2353.05,2353.05,2355.06,2365.56,35.0,1.0,6.21,,1057,1058,SL,2353.0,0.498,0.96,2.57,1,new_york
2024-04-18 09:55:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00023,2380.68994,2376.73999,50.0,44,1,3,1.0665,2.253,BSL_SWING_HIGH,1809,0.545,1.01,MSS_BEARISH,1809,SHORT,0.993,MODERATE,RANGING,OB,2380.91,2380.69,2380.46,2380.46,2379.46,2374.32,35.0,1.0,6.29,,1843,1848,SL,2380.51,0.5,0.52,3.06,5,london
2024-04-23 08:45:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00034,2314.65991,2295.77002,40.0,85,4,1,2.0502,3.354,BSL_SWING_HIGH,2614,0.473,1.21,MSS_BEARISH,2625,SHORT,0.696,MODERATE,DOWNTREND,BB,2302.62,2301.79,2301.57,2303.65,2299.48,2276.88,20.0,1.0,11.87,,2645,2646,SL,2303.7,-1.024,2.23,0.0,1,london
2024-04-26 10:55:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00048,2352.63989,2346.3501,55.0,28,2,2,1.2209,3.344,BSL_SWING_HIGH,3493,1.073,1.41,MSS_BEARISH,3493,SHORT,0.898,MODERATE,RANGING,OB,2348.98,2348.78,2348.56,2348.56,2347.52,2332.32,30.0,1.0,15.68,,3499,3500,SL,2348.61,0.505,0.04,1.11,1,london
2024-04-26 12:40:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00049,2351.53003,2342.21997,65.0,18,2,5,2.6733,3.483,BSL_SWING_HIGH,3502,1.011,1.2,MSS_BEARISH,3502,SHORT,0.707,MODERATE,RANGING,OB,2348.95,2348.69,2347.94,2347.94,2345.59,2333.86,35.0,1.0,6.0,,3520,3521,SL,2347.99,0.5,0.46,5.53,1,new_york
2024-05-01 08:00:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00060,2288.070068,2283.6001,55.0,11,2,2,1.4292,3.358,BSL_SWING_HIGH,4269,0.43,0.51,MSS_BEARISH,4274,SHORT,0.771,MODERATE,RANGING,OB,2286.95,2286.61,2286.39,2286.39,2285.11,2279.13,25.0,1.0,5.67,,4280,4282,SL,2286.44,0.504,0.09,1.66,2,london
2024-05-01 08:35:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00061,2288.070068,2283.6001,55.0,18,2,2,1.3924,3.358,BSL_SWING_HIGH,4283,0.252,0.35,MSS_BEARISH,4283,SHORT,1.125,STRONG,RANGING,OB,2285.91,2285.71,2285.49,2285.49,2284.37,2279.13,25.0,1.0,5.67,,4287,4291,SL,2285.54,0.5,1.03,1.43,4,london
2024-08-15 07:25:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00073,2458.81006,2452.77002,40.0,18,2,1,1.347,3.299,BSL_SWING_HIGH,5426,0.466,0.75,MSS_BEARISH,5426,SHORT,0.621,MODERATE,RANGING,OB,2457.52,2456.3,2456.08,2456.08,2453.96,2449.44,35.0,1.0,3.13,,5431,5444,SL,2456.13,0.502,0.61,2.38,13,london
2024-08-22 07:35:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00083,2510.6499,2504.23999,70.0,20,2,3,1.9724,3.063,BSL_SWING_HIGH,6808,0.237,0.49,MSS_BEARISH,6808,SHORT,1.652,STRONG,RANGING,OB,2508.61,2508.41,2508.18,2508.18,2506.77,2500.97,35.0,1.0,5.11,,6812,6814,SL,2508.23,0.5,1.0,1.87,2,london
2024-08-22 10:05:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00085,2508.61011,2504.01001,55.0,9,2,2,1.5134,2.875,BSL_SWING_HIGH,6819,0.481,0.83,MSS_BEARISH,6819,SHORT,0.417,MODERATE,RANGING,OB,2509.18,2507.6,2507.38,2507.38,2504.81,2501.05,35.0,1.0,2.47,,6842,6860,TP2,2501.05,1.738,1.74,9.16,18,london
2024-08-30 11:40:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00101,2520.02002,2515.060059,55.0,15,4,2,1.6216,2.703,BSL_SWING_HIGH,8459,0.695,1.37,MSS_BEARISH,8460,SHORT,0.76,MODERATE,RANGING,OB,2521.72,2521.52,2521.29,2521.29,2520.06,2512.42,35.0,1.0,7.18,,8516,8522,SL,2521.34,0.496,0.61,2.98,6,london
2024-08-30 12:35:00+00:00,XAU/USD,5min,99,LONG,SETUP_00102,2524.73999,2518.31006,55.0,9,3,3,2.3755,3.025,SSL_SWING_LOW,8523,0.814,1.24,MSS_BULLISH,8523,LONG,0.788,MODERATE,RANGING,OB,2519.55,2518.93,2520.3,2517.74,2522.86,2526.78,35.0,1.0,2.53,,8527,8528,SL,2517.69,-1.02,3.52,2.15,1,new_york
2025-01-06 15:00:00+00:00,XAU/USD,5min,99,LONG,SETUP_00168,2630.77002,2614.88989,55.0,16,3,2,4.5248,2.863,SSL_SWING_LOW,13705,0.467,0.61,MSS_BULLISH,13706,LONG,0.407,MODERATE,RANGING,FVG,2631.73,2631.24,2631.95,2631.95,2634.93,2642.45,35.0,1.0,3.52,,13801,13802,SL,2631.9,0.502,0.72,3.56,1,new_york
2025-01-08 08:55:00+00:00,XAU/USD,5min,99,LONG,SETUP_00170,2652.71997,2649.01001,80.0,35,2,2,1.4019,3.482,SSL_EQUAL_LOWS,14275,0.364,0.515,MSS_BULLISH,14275,LONG,0.727,MODERATE,RANGING,OB,2651.48,2650.49,2651.7,2651.7,2653.62,2656.43,50.0,1.0,2.47,,14280,14306,SL,2651.65,0.503,0.29,3.53,26,london
2025-04-28 08:00:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00173,3292.5,3283.8,40.0,18,1,2,2.7061,3.411,BSL_SWING_HIGH,15243,0.244,0.5,MSS_BEARISH,15248,SHORT,0.431,MODERATE,RANGING,OB,3288.4,3286.4,3286.17,3286.17,3282.6,3275.1,30.0,1.0,3.1,,15258,15269,SL,3286.22,0.499,2.93,6.99,11,london
2025-04-29 07:25:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00174,3323.9,3316.0,50.0,9,2,1,2.3339,3.249,BSL_SWING_HIGH,15524,0.438,1.1,MSS_BEARISH,15526,SHORT,0.52,MODERATE,RANGING,OB,3320.6,3320.0,3319.77,3319.77,3317.78,3316.0,35.0,1.0,1.9,,15528,15530,SL,3319.82,0.497,0.73,3.47,2,london
2025-05-01 08:25:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00185,3239.92,3226.3,40.0,22,2,1,3.2038,3.34,BSL_SWING_HIGH,16073,0.605,2.37,MSS_BEARISH,16074,SHORT,0.386,MODERATE,RANGING,OB,3237.16,3236.23,3236.0,3236.0,3233.25,3225.72,35.0,1.0,3.73,,16089,16096,SL,3236.05,0.498,0.01,3.97,7,london
