timestamp,symbol,timeframe,iteration,direction,setup_id,range_high,range_low,range_quality_score,range_bars,range_touches_high,range_touches_low,atr_at_setup,range_height_atr,ssl_bsl_sweep_type,sweep_bar,sweep_wick_size_atr,sweep_wick_size_abs,structure_break_type,breakout_bar,breakout_direction,breakout_body_atr,breakout_quality,htf_trend,retest_zone_type,retest_zone_top,retest_zone_bottom,entry_price,sl_price,tp1_price,tp2_price,tp_score,rr_tp1,rr_tp2,rejection_reason,entry_bar,exit_bar,exit_reason,exit_price,r_multiple,mae_abs,mfe_abs,bars_held,session
2024-04-11 07:45:00+00:00,XAU/USD,5min,1,LONG,SETUP_00003,2339.77002,2333.94995,70.0,20,3,3,1.8377,2.827,SSL_SWING_LOW,435,1.09,2.35,MSS_BULLISH,444,LONG,1.015,STRONG,RANGING,OB,2338.81,2337.88,2339.04,2336.96,2341.11,2342.29,35,1.0,1.57,,449,451,SL,2336.91,-1.024,3.35,0.52,2,london
2024-04-15 11:10:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00006,2359.18994,2348.43994,80.0,127,3,2,2.2164,2.439,BSL_SWING_HIGH,975,0.282,0.67,MSS_BEARISH,981,SHORT,0.716,MODERATE,RANGING,BB,2359.66,2359.12,2358.9,2360.77,2357.02,2337.69,45,1.0,11.32,,1030,1032,SL,2360.82,-1.027,1.91,0.41,2,london
2024-04-15 11:35:00+00:00,XAU/USD,5min,1,LONG,SETUP_00007,2359.18994,2348.43994,80.0,132,3,2,2.1703,2.439,SSL_PDL,1027,0.681,1.38,MSS_BULLISH,1033,LONG,0.953,MODERATE,RANGING,OB,2359.45,2358.69,2359.67,2357.6,2361.75,2369.94,50,1.0,4.96,,1035,1038,SL,2357.55,-1.024,2.52,0.4,3,london
2024-04-17 12:25:00+00:00,XAU/USD,5min,1,LONG,SETUP_00019,2390.46997,2385.1001,65.0,27,5,3,1.8708,3.279,SSL_RANGE_LOW,1594,0.247,0.4,MSS_BULLISH,1594,LONG,0.783,MODERATE,RANGING,BB,2384.9,2383.56,2385.65,2382.62,2388.68,2395.84,30,1.0,3.37,,1597,1598,SL,2382.57,-1.017,3.92,0.0,1,new_york
2024-04-22 16:00:00+00:00,XAU/USD,5min,1,LONG,SETUP_00039,2340.76001,2331.44995,65.0,32,4,2,2.6007,2.314,SSL_SESSION_LOW,2437,0.593,2.12,MSS_BULLISH,2437,LONG,0.52,MODERATE,RANGING,OB,2335.26,2334.93,2335.49,2333.63,2337.34,2343.81,35,1.0,4.49,,2456,2458,SL,2333.58,-1.027,2.33,0.86,2,new_york
2024-04-23 08:45:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00040,2314.3999,2298.1499,80.0,82,5,2,2.0502,3.039,BSL_SWING_HIGH,2614,0.473,1.21,MSS_BEARISH,2625,SHORT,0.696,MODERATE,DOWNTREND,BB,2302.62,2301.79,2301.57,2303.65,2299.48,2281.9,40,1.0,9.45,,2645,2646,SL,2303.7,-1.024,2.23,0.0,1,london
2024-04-25 07:25:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00043,2323.52002,2317.87988,70.0,14,2,3,1.3683,3.189,BSL_SWING_HIGH,3176,0.572,1.04,MSS_BEARISH,3176,SHORT,0.731,MODERATE,RANGING,OB,2322.95,2321.56,2321.34,2323.63,2319.04,2315.57,35,1.0,2.51,,3181,3185,SL,2323.68,-1.022,2.32,0.0,4,london
2024-04-25 12:30:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00044,2330.68994,2326.84009,65.0,15,4,2,2.6654,2.818,BSL_SWING_HIGH,3239,0.618,0.97,MSS_BEARISH,3239,SHORT,1.217,STRONG,RANGING,OB,2329.52,2328.57,2328.35,2328.35,2325.84,2324.88,35,1.0,1.38,,3242,3243,TP2,2324.88,1.196,0.0,3.84,1,new_york
2024-04-25 14:20:00+00:00,XAU/USD,5min,1,LONG,SETUP_00045,2324.97998,2312.90991,65.0,14,3,2,3.8822,2.807,SSL_RANGE_LOW,3244,0.695,2.2,MSS_BULLISH,3244,LONG,1.403,STRONG,RANGING,OB,2325.44,2324.88,2325.66,2325.66,2328.39,2330.58,35,1.0,1.8,,3264,3266,SL,2325.61,0.502,1.73,8.33,2,new_york
2024-04-25 15:30:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00046,2344.80005,2329.47998,65.0,11,2,2,4.5573,3.212,BSL_SWING_HIGH,3275,0.558,2.66,MSS_BEARISH,3275,SHORT,0.419,MODERATE,RANGING,OB,2334.6,2332.01,2331.79,2331.79,2326.69,2311.94,35,1.0,3.9,,3278,3307,SL,2331.84,0.501,0.94,8.6,29,new_york
2024-05-02 15:55:00+00:00,XAU/USD,5min,1,LONG,SETUP_00062,2307.01001,2294.8501,65.0,18,2,2,3.1049,3.379,SSL_SWING_LOW,4603,0.453,0.7,MSS_BULLISH,4603,LONG,0.382,MODERATE,RANGING,OB,2297.72,2295.77,2297.94,2297.94,2301.67,2302.69,35,1.0,1.27,,4651,4660,TP2,2302.69,1.14,0.0,5.72,9,new_york
2024-05-03 16:00:00+00:00,XAU/USD,5min,1,LONG,SETUP_00071,2297.42993,2283.36011,75.0,23,2,6,3.0771,2.349,SSL_EQUAL_LOWS,4923,0.77,3.07,MSS_BULLISH,4923,LONG,0.74,MODERATE,RANGING,OB,2295.06,2291.82,2295.29,2295.29,2300.29,2311.5,50,1.0,3.24,,4928,4994,SL,2295.24,0.499,1.93,8.19,66,new_york
2024-08-16 14:00:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00083,2493.070068,2483.8999,75.0,13,3,2,4.9662,2.288,BSL_SWING_HIGH,5769,0.815,1.76,MSS_BEARISH,5774,SHORT,0.729,MODERATE,RANGING,OB,2491.6,2485.99,2485.76,2494.08,2477.45,2474.73,50,1.0,1.33,,5786,5788,SL,2494.13,-1.006,8.72,1.45,2,new_york
2024-08-22 07:35:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00100,2510.6499,2504.23999,70.0,20,2,3,1.9724,3.063,BSL_SWING_HIGH,6808,0.237,0.49,MSS_BEARISH,6808,SHORT,1.652,STRONG,RANGING,OB,2508.61,2508.41,2508.18,2508.18,2506.77,2500.97,35,1.0,5.11,,6812,6814,SL,2508.23,0.5,1.0,1.87,2,london
2024-08-22 10:35:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00103,2508.71997,2505.56006,75.0,10,2,2,1.3599,2.338,BSL_SWING_HIGH,6819,0.481,0.83,MSS_BEARISH,6819,SHORT,0.417,MODERATE,RANGING,OB,2509.18,2507.6,2507.38,2507.38,2504.89,2502.4,50,1.0,2.0,,6848,6859,TP2,2502.4,1.506,0.71,5.32,11,london
2024-08-30 12:25:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00119,2521.72998,2518.93994,75.0,15,4,5,1.7495,1.876,BSL_SWING_HIGH,8497,0.478,0.6,MSS_BEARISH,8498,SHORT,1.462,STRONG,RANGING,OB,2524.23,2523.88,2523.13,2523.13,2521.16,2516.15,50,1.0,3.53,,8525,8526,SL,2523.18,0.5,1.45,3.12,1,new_york
2024-12-17 15:10:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00153,2642.050049,2634.86011,65.0,11,2,2,2.7274,2.742,BSL_SWING_HIGH,10513,0.319,0.73,MSS_BEARISH,10516,SHORT,0.741,MODERATE,RANGING,OB,2643.24,2640.28,2640.06,2644.6,2635.51,2635.03,35,1.0,1.1,,10533,10564,SL,2644.65,-1.011,4.55,3.26,31,new_york
2024-12-18 08:55:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00154,2648.37988,2642.22998,65.0,21,3,3,1.6806,3.374,BSL_SESSION_HIGH,10711,0.277,0.34,MSS_BEARISH,10712,SHORT,0.492,MODERATE,RANGING,OB,2648.86,2648.16,2647.93,2647.93,2646.17,2642.84,35,1.0,2.89,,10734,10749,SL,2647.98,0.497,1.37,2.32,15,london
