timestamp,symbol,timeframe,iteration,direction,setup_id,range_high,range_low,range_quality_score,range_bars,range_touches_high,range_touches_low,atr_at_setup,range_height_atr,ssl_bsl_sweep_type,sweep_bar,sweep_wick_size_atr,sweep_wick_size_abs,structure_break_type,breakout_bar,breakout_direction,breakout_body_atr,breakout_quality,htf_trend,retest_zone_type,retest_zone_top,retest_zone_bottom,entry_price,sl_price,tp1_price,tp2_price,tp_score,rr_tp1,rr_tp2,rejection_reason,entry_bar,exit_bar,exit_reason,exit_price,r_multiple,mae_abs,mfe_abs,bars_held,session,override_type,compensation_score,compensation_breakdown,strategy_type,modification_type,market_regime,cs_setup_context
2024-04-11 07:45:00+00:00,XAU/USD,5min,99,LONG,SETUP_00003,2339.77002,2333.94995,70.0,20,3,3,1.8377,2.827,SSL_SWING_LOW,435,1.09,2.35,MSS_BULLISH,444,LONG,1.015,STRONG,RANGING,OB,2338.81,2337.88,2339.04,2337.33,2340.74,2342.29,35,1.0,1.91,,449,451,SL,2337.28,-1.029,3.35,0.52,2,london,NONE,80.0,"{""sweep_depth"":35.0,""displacement"":10.0,""zone_confluence"":0.0,""htf_clarity"":20.0,""round_number"":0.0,""pdh_pdl"":0.0,""session_timing"":15.0,""total"":80.0}",EDGE2,NONE,TRENDING_MODERATE,
2024-04-15 11:40:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00015,2361.30005,2355.61011,55.0,8,3,2,2.1103,2.696,BSL_SWING_HIGH,975,0.282,0.67,MSS_BEARISH,981,SHORT,0.716,MODERATE,RANGING,BB,2359.66,2359.12,2358.9,2358.9,2357.5,2355.19,35,1.0,2.65,,1036,1038,SL,2358.95,0.504,0.51,1.75,2,london,NONE,20.0,"{""sweep_depth"":0.0,""displacement"":0.0,""zone_confluence"":0.0,""htf_clarity"":20.0,""round_number"":0.0,""pdh_pdl"":0.0,""session_timing"":0.0,""total"":20.0}",EDGE2,NONE,TRENDING_MODERATE,
2024-04-15 12:40:00+00:00,XAU/USD,5min,99,LONG,SETUP_00016,2361.30005,2355.61011,55.0,20,3,2,2.9885,2.696,SSL_PDL,1027,0.681,1.38,MSS_BULLISH,1039,LONG,0.364,MODERATE,RANGING,BB,2353.4,2352.6,2353.62,2353.62,2355.55,2365.56,35,1.0,6.21,,1048,1055,SL,2353.57,0.503,0.6,7.48,7,off_hours,NONE,55.0,"{""sweep_depth"":10.0,""displacement"":0.0,""zone_confluence"":15.0,""htf_clarity"":20.0,""round_number"":10.0,""pdh_pdl"":0.0,""session_timing"":0.0,""total"":55.0}",EDGE2,NONE,TRENDING_MODERATE,
2024-04-16 12:45:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00018,2378.3501,2368.88989,50.0,74,2,1,2.8164,3.352,BSL_EQUAL_HIGHS,1249,0.313,0.665,MSS_BEARISH,1256,SHORT,0.502,MODERATE,RANGING,OB,2376.27,2375.53,2375.31,2375.31,2373.5,2368.87,35,1.0,3.56,,1325,1328,SL,2375.36,0.503,1.45,2.3,3,off_hours,CONTEXT_OVERRIDE,20.0,"{""sweep_depth"":0.0,""displacement"":0.0,""zone_confluence"":0.0,""htf_clarity"":20.0,""round_number"":0.0,""pdh_pdl"":0.0,""session_timing"":0.0,""total"":20.0}",EDGE2,BLOCKED_SWEEP_ELEVATED_CONTEXT,TRENDING_MODERATE,
2024-04-16 13:20:00+00:00,XAU/USD,5min,99,LONG,SETUP_00019,2378.3501,2368.88989,50.0,81,2,1,3.0189,3.352,SSL_SWING_LOW,1329,0.308,0.87,MSS_BULLISH,1330,LONG,0.65,MODERATE,RANGING,OB,2376.41,2373.02,2376.63,2372.11,2381.16,2392.2,35,1.0,3.44,,1332,1335,SL,2372.06,-1.011,6.73,2.69,3,off_hours,NONE,20.0,"{""sweep_depth"":0.0,""displacement"":0.0,""zone_confluence"":0.0,""htf_clarity"":20.0,""round_number"":0.0,""pdh_pdl"":0.0,""session_timing"":0.0,""total"":20.0}",EDGE2,NONE,TRENDING_MODERATE,
2024-04-23 08:45:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00034,2314.65991,2295.77002,40.0,85,4,1,2.0502,3.354,BSL_SWING_HIGH,2614,0.473,1.21,MSS_BEARISH,2625,SHORT,0.696,MODERATE,DOWNTREND,BB,2302.62,2301.79,2301.57,2303.24,2299.89,2276.88,20,1.0,14.78,,2645,2646,SL,2303.29,-1.03,2.23,0.0,1,london,NONE,60.0,"{""sweep_depth"":0.0,""displacement"":0.0,""zone_confluence"":15.0,""htf_clarity"":20.0,""round_number"":10.0,""pdh_pdl"":0.0,""session_timing"":15.0,""total"":60.0}",EDGE2,NONE,TRENDING_STRONG,
2024-04-25 13:50:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00044,2324.97998,2312.90991,65.0,8,3,2,4.3007,2.807,BSL_SWING_HIGH,3176,0.572,1.04,MSS_BEARISH,3176,SHORT,0.731,MODERATE,RANGING,BB,2320.08,2319.88,2319.65,2319.65,2317.94,2311.94,35,1.0,4.5,,3258,3259,SL,2319.7,0.497,0.87,3.03,1,off_hours,NONE,30.0,"{""sweep_depth"":10.0,""displacement"":0.0,""zone_confluence"":0.0,""htf_clarity"":20.0,""round_number"":0.0,""pdh_pdl"":0.0,""session_timing"":0.0,""total"":30.0}",EDGE2,NONE,TRENDING_STRONG,
2024-04-26 10:55:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00045,2352.63989,2346.3501,55.0,28,2,2,1.2209,3.344,BSL_SWING_HIGH,3493,1.073,1.41,MSS_BEARISH,3493,SHORT,0.898,MODERATE,RANGING,OB,2348.98,2348.78,2348.56,2348.56,2347.56,2332.32,30,1.0,20.52,,3499,3500,SL,2348.61,0.5,0.04,1.11,1,london,NONE,90.0,"{""sweep_depth"":35.0,""displacement"":0.0,""zone_confluence"":15.0,""htf_clarity"":20.0,""round_number"":20.0,""pdh_pdl"":0.0,""session_timing"":0.0,""total"":90.0}",EDGE2,NONE,TRENDING_MODERATE,
2024-04-26 12:40:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00046,2351.53003,2342.21997,65.0,18,2,5,2.6733,3.483,BSL_SWING_HIGH,3502,1.011,1.2,MSS_BEARISH,3502,SHORT,0.707,MODERATE,RANGING,OB,2348.95,2348.69,2347.94,2347.94,2346.13,2333.86,35,1.0,7.77,,3520,3521,SL,2347.99,0.5,0.46,5.53,1,off_hours,NONE,90.0,"{""sweep_depth"":35.0,""displacement"":0.0,""zone_confluence"":15.0,""htf_clarity"":20.0,""round_number"":20.0,""pdh_pdl"":0.0,""session_timing"":0.0,""total"":90.0}",EDGE2,NONE,TRENDING_MODERATE,
2024-05-01 08:00:00+00:00,XAU/USD,5min,99,SHORT,SETUP_00057,2288.070068,2283.6001,55.0,11,2,2,1.4292,3.358,BSL_SWING_HIGH,4269,0.43,0.51,MSS_BEARISH,4274,SHORT,0.771,MODERATE,RANGING,OB,2286.95,2286.61,2286.39,2286.39,2285.39,2285.16,35,1.0,1.23,,4280,4281,TP2,2285.16,1.115,0.0,1.66,1,london,NONE,35.0,"{""sweep_depth"":0.0,""displacement"":0.0,""zone_confluence"":0.0,""htf_clarity"":20.0,""round_number"":0.0,""pdh_pdl"":0.0,""session_timing"":15.0,""total"":35.0}",EDGE2,NONE,TRENDING_MODERATE,
